SL.No,OS_Type,OS_Version,ARC_Type,CPU_Type
1, Amazon Linux , 2 ,x86_64, Intel(R) Xeon(R) CPU E5-2676 v3 @ 2.40GHz
1, Amazon Linux , 2 ,x86_64, Intel(R) Xeon(R) CPU E5-2676 v3 @ 2.40GHz
